,date,company,job,salary,condition,special
0,01/17 마감,케이씨 ML2(KC ML2),Research Resident (Internship),"3,500 - 6,000만원","인턴, 신입, 경력",Python ∙ Git
1,02/14 마감,라인웍스,데이터 분석가,"최소 3,000만원","신입, 경력",데이터분석 ∙ 빅데이터 ∙ data-analysis ∙ research
2,02/11 마감,닛픽(NITPICK),데이터 사이언티스트(텍스트 데이터 분석가) 모집,"2,400 - 3,000만원","인턴, 신입",Data Science ∙ data-analysis ∙ Datamining ∙ text-mining ∙ Python
3,수시채용,밸런스히어로(Balance Hero),Junior Business Analyst,연봉 미기재,"인턴, 신입, 경력",데이터분석 ∙ 데이터 ∙ 데이터관리 ∙ 지표분석
4,수시채용,코드잇(codeit),퍼포먼스 마케터 / 그로스해커,"2,400 - 4,200만원",최대 1.0%,온라인마케팅 ∙ 디지털마케팅 ∙ 그로스해킹 ∙ Google Analytics ∙ 페이스북 ∙ 구글 애드워즈 ∙ 네이버광고 ∙ AARRR ∙ ab-testing ∙ 바이럴마케팅
5,수시채용,피카소(Picasso),유튜브 빅데이터 스타트업 _ 함께 성장할 데이터 애널리스트분 모십니다.,"3,600 - 4,000만원",1.0 - 5.0%,Python
6,수시채용,모루랩스(Moru Labs),data scientist,"3,500 - 5,000만원","신입, 경력",Python ∙ Git ∙ Pandas ∙ scikit-learn ∙ TensorFlow ∙ PyTorch ∙ machine-learning ∙ deep-learning ∙ Django ∙ django-orm ∙ PostgreSQL ∙ D3.js ∙ Data Science ∙ jupyter notebook
7,01/31 마감,데이터크런치(Datacrunch),Data Analyst / Data Scientist,"5,000 - 10,000만원","인턴, 신입, 경력",MySQL ∙ Python ∙ SQL ∙ 빅데이터 ∙ 빅데이터 분석/인프라/가시화 ∙ 빅데이터 엔지니어 ∙ 빅데이터 마이닝 ∙ 데이터분석 ∙ 데이터 ∙ 데이터베이스 ∙ Big Data ∙ Data Science ∙ 데이터사이언스 ∙ 데이터마이닝 ∙ 머신러닝 ∙ 인공지능 ∙ 딥러닝 ∙ 기계학습 ∙ Datamining ∙ deep-learning ∙ R데이터분석 ∙ jupyter ∙ jupyter notebook ∙ R shiny ∙ 마케팅분석 ∙ Marketing Analysis ∙ scm
8,01/18 마감,랩투아이(Lab2AI),스포츠 데이터 분석 및 로봇기사 알고리즘 개발,연봉 미기재,"인턴, 신입, 경력",Python ∙ Amazon AWS ∙ Git ∙ deep-learning ∙ TensorFlow ∙ PyTorch ∙ 인공지능 ∙ 기계학습 ∙ 머신러닝 ∙ Machine Learning  ∙ Data Science ∙ artificial-intelligence ∙ NLP ∙ 로봇기사
9,수시채용,마이셀럽스(mycelebs),그로스해커/데이터 전처리/서비스 기획 및 운영 인턴 모집,연봉 미기재,0.05 - 0.2%,서비스운영 ∙ 데이터분석 ∙ 데이터수집 ∙ 데이터관리 ∙ 통계분석 ∙ 운영 ∙ 서비스 기획 ∙ 취향검색 ∙ 데이터마이닝 ∙ 그로스해킹 ∙ 그로스해커
10,수시채용,휴멜로(Humelo),[인턴직] ML / Deep Learning Researcher (2019.3월 입사 가능자),연봉 미기재,인턴,deep-learning ∙ Machine Learning  ∙ Data Science ∙ TensorFlow ∙ PyTorch ∙ 인공지능 ∙ 딥러닝 ∙ artificial-intelligence ∙ 기계학습 ∙ 머신러닝 ∙ Audio Engineering ∙ music information retrieval ∙ machine-learning
